airport,annual_cancellations,annual_delayed,num_routes,cancel_cost_m,delay_cost_m,cascade_cost_m,pax_time_cost_m,total_flight_cost_m,gdp_at_risk_b
All Ports,32584.11111111111,265662.0,0,2341.5971902355554,582.1584237000001,0.0,2091.8631846666667,5015.618798602222,0.0
Sydney,7984.0,49538.666666666664,23,573.7554694400001,108.55655719999999,206.73510753168,446.0316293333334,1335.0787635050135,52.0
Melbourne,6452.222222222223,42764.0,16,463.67707791111116,93.71089140000001,124.14818892672002,372.13240133333335,1053.6685595711647,10.0
Brisbane,3565.777777777778,32770.22222222222,19,256.2480589688889,71.81102646666668,112.97310683735999,244.7353711111111,685.7675633840267,64.0
Perth,1226.0,13239.777777777777,11,88.10423416,29.01298703333333,26.42502858996,92.58265755555556,236.12490733884889,104.0
Adelaide,1292.0,12357.777777777777,10,92.84720272,27.080216333333333,22.422419123999997,90.74599155555555,233.0958297328889,3.0
Canberra,1419.111111111111,7879.111111111111,5,101.98180883555555,17.265890133333333,7.1480785152,75.3186488888889,201.71442637297778,0.0
Gold Coast,996.0,9421.333333333334,5,71.57570736,20.6454388,8.5472116632,69.50573066666666,170.27408848986667,0.0
Cairns,452.6666666666667,6022.0,6,32.53005709333334,13.196309699999999,6.555926658959999,39.031902,91.31419545229333,0.0
Hobart,372.0,5310.666666666667,3,26.73309552,11.6375294,2.89076230296,33.62373733333334,74.88512455629333,0.0
Launceston,259.77777777777777,3158.0,3,18.668452008888888,6.9202832999999995,1.71899837172,21.125528666666668,48.43326234727556,0.0
Townsville,253.33333333333334,2763.5555555555557,4,18.205333866666667,6.055917466666667,2.0057198649600005,19.24948711111111,45.51645830940445,0.0
Sunshine Coast,205.77777777777777,3226.8888888888887,2,14.787841368888888,7.0712429666666665,1.17099783528,19.836454444444445,42.866536615280005,0.0
Newcastle,240.88888888888889,2260.6666666666665,2,17.311036764444445,4.9539119,0.8203678106400001,16.73366066666667,39.81897714175111,0.0
Darwin,122.0,2494.0,6,8.767305519999999,5.4652269,2.7151247239200003,14.244854,31.19251114392,0.0
Rockhampton,182.44444444444446,1885.7777777777778,1,13.111034302222224,4.132399133333333,0.34216264824000003,13.416202222222223,31.001798306017783,0.0
Port Lincoln,205.33333333333334,974.0,1,14.755902186666667,2.1343749,0.17672624172000004,10.187814,27.254817328386665,0.0
Mackay,133.77777777777777,1836.4444444444443,1,9.61369384888889,4.024292533333333,0.33321142176000007,11.777907555555556,25.74910535953778,0.0
Karratha,154.0,1283.5555555555557,1,11.06692664,2.8127194666666666,0.23289317184000002,10.006279111111112,24.11881838961778,0.0
Port Hedland,154.0,1261.5555555555557,1,11.06692664,2.7645097666666665,0.22890140868000003,9.912185111111112,23.972522926457778,0.0
Gladstone,155.55555555555554,848.4444444444445,1,11.178713777777778,1.8592387333333331,0.15394496712000003,8.190930222222223,21.382827700453333,0.0
Ballina,130.88888888888889,1214.888888888889,1,9.406089164444445,2.6622467666666667,0.22043403228000005,9.034789111111111,21.32355907450222,0.0
Kalgoorlie,137.55555555555554,1021.7777777777778,1,9.885176897777777,2.2390727333333333,0.18539522232000005,8.404372888888888,20.71401774232,0.0
Dubbo,121.55555555555556,1173.3333333333333,1,8.735366337777778,2.571184,0.21289403520000005,8.583328,20.10277237297778,0.0
Newman,128.0,850.6666666666666,1,9.198484480000001,1.8641083999999999,0.15434817552000002,7.392285333333334,18.609226388853333,0.0
Port Macquarie,120.88888888888889,956.4444444444445,1,8.687457564444445,2.095904533333333,0.17354089536000006,7.636142222222223,18.59304521536,0.0
Broome,100.88888888888889,1136.888888888889,1,7.250194364444445,2.4913214666666663,0.2062814174400001,7.821343111111111,17.769140359662224,0.0
Coffs Harbour,96.88888888888889,1118.4444444444443,1,6.962741724444444,2.4509032333333334,0.20293478772,7.625144222222222,17.241723967720002,0.0
Mildura,79.11111111111111,1306.4444444444443,1,5.685174435555556,2.862877033333333,0.23704621836000003,7.907833555555556,16.692931242804445,0.0
Wagga Wagga,93.55555555555556,909.7777777777778,1,6.7231978577777785,1.9936415333333335,0.16507351896000003,6.63491688888889,15.516829798960002,0.0
Albury,81.33333333333333,1054.2222222222222,1,5.844870346666666,2.310169866666666,0.19128206496,6.894252444444444,15.240574722737778,0.0
Armidale,98.44444444444444,547.5555555555555,1,7.074528862222222,1.1998858666666667,0.09935054976000002,5.229073777777778,13.602839056426667,0.0
Hamilton Island,50.44444444444444,1130.4444444444443,2,3.6250971822222224,2.477199433333333,0.41022422616000004,6.314345555555556,12.826866397271111,0.0
Emerald,82.44444444444444,579.7777777777778,1,5.924718302222222,1.2704960333333335,0.10519707156000002,4.897640222222223,12.198051629337778,0.0
Proserpine,44.44444444444444,733.7777777777778,2,3.1939182222222224,1.6079639333333333,0.2662788273600001,4.441834222222222,9.509995205137779,0.0
Devonport,61.333333333333336,378.44444444444446,1,4.407607146666668,0.8293042333333334,0.06866639052,3.417390888888889,8.72296865940889,0.0
Alice Springs,21.77777777777778,414.8888888888889,2,1.565019928888889,0.9091667666666667,0.15055801656000004,2.4131784444444446,5.03792315656,0.0
Mount Isa,20.88888888888889,375.77777777777777,1,1.5011415644444446,0.8234606333333333,0.06818254044,2.219830888888889,4.612615627106667,0.0
Tamworth,16.0,164.88888888888889,1,1.1498105600000001,0.36132926666666665,0.02991806328,1.174477777777778,2.7155356677244447,0.0
Ayers Rock,2.0,140.88888888888889,2,0.14372632000000002,0.3087368666666667,0.051126825120000004,0.6612377777777778,1.1648277895644448,0.0
Geraldton,6.666666666666667,59.77777777777778,1,0.4790877333333334,0.13099403333333332,0.010846305960000004,0.4511895555555556,1.0721176281822224,0.0
Bundaberg,4.222222222222222,83.11111111111111,1,0.3034222311111111,0.18212553333333337,0.01507999416,0.4792955555555556,0.9799233141600001,0.0
